Date,Close,Volume,Open,High,Low
2010-06-29,23.889999,18766300,19.0,25.0,17.540001
2010-06-30,23.83,17187100,25.790001,30.42,23.299999
2010-07-01,21.959999,8218800,25.0,25.92,20.27
2010-07-02,19.200001,5139800,23.0,23.1,18.709999
2010-07-06,16.110001,6866900,20.0,20.0,15.83
2010-07-07,15.8,6921700,16.4,16.629998999999998,14.98
2010-07-08,17.459999,7711400,16.139999,17.52,15.57
2010-07-09,17.4,4050600,17.58,17.9,16.549999
2010-07-12,17.049999,2202500,17.950001,18.07,17.0
2010-07-13,18.139999,2680100,17.389999,18.639999,16.9
2010-07-14,19.84,4195200,17.940001000000002,20.15,17.76
2010-07-15,19.889999,3739800,19.940001000000002,21.5,19.0
2010-07-16,20.639999,2621300,20.700001,21.299999,20.049999
2010-07-19,21.91,2486500,21.370001000000002,22.25,20.92
2010-07-20,20.299999,1825300,21.85,21.85,20.049999
2010-07-21,20.219998999999998,1252500,20.66,20.9,19.5
2010-07-22,21.0,957800,20.5,21.25,20.370001000000002
2010-07-23,21.290001,653600,21.190001000000002,21.559998999999998,21.059998999999998
2010-07-26,20.950001,922200,21.5,21.5,20.299999
2010-07-27,20.549999,619700,20.91,21.18,20.26
2010-07-28,20.719998999999998,467200,20.549999,20.9,20.51
2010-07-29,20.35,616000,20.77,20.879998999999998,20.0
2010-07-30,19.940001000000002,426900,20.200001,20.440001000000002,19.549999
2010-08-02,20.92,718100,20.5,20.969998999999998,20.33
2010-08-03,21.950001,1230500,21.0,21.950001,20.82
2010-08-04,21.26,913000,21.950001,22.18,20.85
2010-08-05,20.450001,796200,21.540001,21.549999,20.049999
2010-08-06,19.59,741900,20.1,20.16,19.52
2010-08-09,19.6,812700,19.9,19.98,19.450001
2010-08-10,19.030001000000002,1281300,19.65,19.65,18.82
2010-08-11,17.9,797600,18.690001000000002,18.879998999999998,17.85
2010-08-12,17.6,691000,17.799999,17.9,17.389999
2010-08-13,18.32,634000,18.18,18.450001,17.66
